wealth,age,educ,marry
66628.,33,4,1
43965.,35,4,1
2467.,23,2,0
56549.,30,3,1
727488.,71,3,0
523735.,47,2,1
71572.,70,4,1
713608.,40,5,1
336905.,58,2,1
113589.,47,3,0
280464.,56,2,1
111036.,33,3,1
38878.,59,3,1
164313.,30,1,0
76236.,42,3,1
161100.,44,4,1
7415.,21,3,0
221603.,40,2,1
73956.,56,1,1
145974.,50,2,1
242067.,30,5,1
208439.,45,3,1
290193.,54,2,1
82692.,35,5,0
13613.,57,2,1
48465.,40,4,1
209810.,58,2,1
822757.,59,5,0
436815.,33,3,1
26928.,35,2,0
123356.,49,2,0
177020.,43,3,1
453847.,59,3,1
24986.,22,2,0
547579.,52,2,1
1831852.,52,5,1
3005.,23,3,0
59902.,45,2,1
1092.,26,2,0
367408.,48,3,0
131794.,60,3,0
240092.,58,3,1
8704.,37,5,1
345266.,31,4,1
677353.,62,3,1
16888.,24,3,0
272883.,54,2,1
341360.,65,5,1
12358.,37,1,1
13723.,56,3,1
26495.,24,3,1
20859.,31,4,0
363693.,34,5,1
388275.,58,3,1
35092.,32,3,1
253561.,53,5,1
78570.,38,3,0
191723.,61,2,1
847928.,52,3,1
45786.,23,4,0
30178.,80,3,0
46759.,30,3,0
153385.,30,3,0
8183.,24,4,0
69674.,29,2,0
71889.,36,3,1
53368.,57,2,1
26255.,24,4,0
87527.,32,4,1
180763.,40,4,1
37486.,46,2,1
122231.,43,1,0
225675.,72,4,1
10935.,27,4,0
42147.,35,2,0
172532.,42,5,1
59093.,53,4,1
36368.,63,2,0
26278.,31,1,0
46686.,37,2,1
674372.,50,4,0
23893.,36,3,0
8061.,72,2,1
2446659.,51,3,1
677445.,54,4,1
1193017.,59,5,0
14192.,61,1,1
164043.,55,5,0
28123.,22,2,0
41154.,54,2,1
298126.,31,5,1
19335.,31,3,0
251761.,56,3,1
73012.,57,4,1
11026.,26,4,1
67319.,53,2,0
18898871.,66,2,1
108867.,54,2,0
205327.,36,2,0
3709.,24,3,0
122132.,43,2,1
264789.,37,5,1
195282.,36,3,1
78351.,63,2,1
84600.,31,5,1
375854.,43,3,1
52777.,60,4,1
42975.,46,1,0
362985.,49,2,0
589201.,39,4,0
22165.,24,4,0
173105.,47,4,0
37350.,35,3,0
54923.,26,4,0
280287.,39,4,1
33948.,38,4,1
11054.,28,2,0
317267.,51,2,1
366176.,53,4,0
267095.,59,4,1
392518.,57,5,0
373831.,68,3,1
389547.,48,3,1
2021820.,61,4,1
59011.,48,1,1
5293.,74,4,1
20732.,33,2,0
111220.,57,1,1
153111.,51,5,1
76611.,55,2,0
1909.,24,3,0
2254215.,52,5,1
15589.,37,2,1
457944.,30,3,1
40267.,44,5,0
22266.,63,5,0
75855.,56,4,1
561494.,60,4,0
100775.,57,5,0
751047.,49,4,1
59938.,40,2,0
167651.,31,4,1
84901.,24,3,0
220563.,39,4,0
47063.,32,4,1
1958281.,52,5,0
820.,24,3,0
909869.,74,5,0
34415.,27,3,1
57346.,33,1,0
155367.,48,4,1
5892.,31,5,1
1401239.,41,2,0
10138.,38,4,1
32292.,31,5,1
25533.,55,2,0
123680.,54,2,1
237857.,52,3,1
2455.,30,3,1
3267.,24,2,0
69989.,48,4,1
165060.,55,3,1
41102.,45,1,0
213787.,60,2,1
32177.,36,4,1
24031.,64,2,0
28426.,31,5,1
53218.,30,2,1
